title,start_date,start_time,end_date,end_time,type,venue,speaker_name,speaker_company,speaker_image
Expo Hall Theater: Delta/Agema,3/8/17,13:50,3/8/17,14:05,,,,,
Marvell: Modular Networking,3/8/17,16:20,3/8/17,16:45,,,,,
Expo Hall Theater: Edgecore (Accton),3/8/17,16:10,3/8/17,16:25,,,,,
Registration Open,3/9/17,8:00,3/9/17,12:00,,,,,
Executive Track: AMD,3/8/17,16:55,3/8/17,17:20,,,,,
Software-Defined Storage Architectures on Open Compute,3/9/17,10:30,3/9/17,11:25,,,,,
Experiences in Operating a Mixed OCP/Non-OCP Data Center Network,3/9/17,13:30,3/9/17,13:55,,,,,
Microsoft: Designing Open Source Hardware to Inspire an Ecosystem,3/8/17,12:30,3/8/17,12:45,,,,,
Facebook OpenBMC Updates,3/9/17,9:30,3/9/17,9:55,,,,,
Controlling the Network with APIs,3/9/17,14:00,3/9/17,14:25,,,,,
Networking SAI Behavioral Model Implementation in P4,3/9/17,10:00,3/9/17,10:25,,,,,
Facility Requirements for Deploying OCP Racks,3/9/17,13:30,3/9/17,13:55,,,,,
Executive Track: Delta/Agema,3/8/17,15:45,3/8/17,16:10,,,,,
