title,start_date,start_time,end_date,end_time,type,venue,speaker_name,speaker_company,speaker_image
Building Shared Accelerated Storage on OCP,3/9/17,11:25,3/9/17,11:55,Storage,Grand Ballroom A,Yaniv Romem,,
OCP Debug Card With LCD,3/9/17,14:30,3/9/17,14:45,Hardware Management,Grand Ballroom D,Whitney Zhao,,
Project Olympus Node Management,3/9/17,14:00,3/9/17,14:25,Project Olympus,Grand Ballroom F,Badriddine Khessib,,
Intel: Intel and OCP: Collaboration and Innovation,3/8/17,14:00,3/8/17,14:25,,Great America Ballroom J/K,Mark Seager,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,8:55,Project Olympus,Grand Ballroom F,"John Stuewe, Siamak Tavallaei",,
Overview of Open Rack Specification 2.0 Updates,3/9/17,9:00,3/9/17,9:55,Open Rack(48v) and Data Center,Grand Ballroom B,"Steve Mills, Xin LI, Mike Lau",,
48V direct to CPU goes Mainstream,3/9/17,10:30,3/9/17,10:55,Open Rack(48v) and Data Center,Grand Ballroom B,Robert Gendron,,
Mellanox: OCP Networking Done Right,3/8/17,16:30,3/8/17,16:45,,Hall A&B,Kevin Deierling,,
Hyve: Hyve Designed 48V OCP v2 Rack,3/8/17,14:35,3/8/17,15:00,,Great America Ballroom J/K,"Conor Malone, Shou Lin Chua",,
Welcome and Track Overview,3/9/17,8:45,3/9/17,8:55,Server,Grand Ballroom C,"John Stuewe, Siamak Tavallaei",,
Project Olympus Servers,3/9/17,10:00,3/9/17,10:55,Project Olympus,Grand Ballroom F,Mark A. Shaw,,
Hardware Management for CG-OpenRack-19,3/9/17,11:30,3/9/17,11:55,Hardware Management,Grand Ballroom D,Suzanne Kelliher,,
CNEX: LightNVM: The Open-Channel SSD Subsystem,3/8/17,15:50,3/8/17,16:05,,Hall A&B,Matias Bj厅rling,,
Specification for OCP - Telecom Sled,3/9/17,9:00,3/9/17,9:25,Telco,Grand Ballroom E,Jeff Sharpe,,
Tales From the Field: L1 Issues,3/9/17,10:30,3/9/17,10:55,Networking 1,Great America Ballroom J,Carlos Cardenas,,
Testing to enable 100G fabrics at scale (TOR and Optics),3/9/17,11:30,3/9/17,11:55,Networking 2,Great America Ballroom K,Chakravarty Abhijit,,
Big Basin: Flexible GPU Expander,3/9/17,13:30,3/9/17,13:55,Server,Grand Ballroom C,Koh Yew Thoon,,
Wiwynn: OCP Migration + SDDC Machine Learning,3/8/17,15:30,3/8/17,15:45,,Hall A&B,Min Chao,,
Hardware Lifecycle at Scale,3/9/17,10:00,3/9/17,10:55,Hardware Management,Grand Ballroom D,"Brian Dodds, Craig Ross",,
Delivering Carrier-Grade OCP to Telco Data Centers,3/9/17,10:00,3/9/17,10:55,Telco,Grand Ballroom E,Tushar Saxena,,
OCP Trial Results for Telco Infrastructure,3/9/17,11:00,3/9/17,11:25,Telco,Grand Ballroom E,Jungsoo Kim,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,8:55,Telco,Grand Ballroom E,"Kang-won Lee, Bryan Larish",,
Microsoft: Enabling Cloud Workloads Through Innovations in Silicon,3/8/17,14:35,3/8/17,15:00,,Grand Ballroom E/F,Leendert van Doorn,,
Facebook: Zooming In On the Network,3/8/17,12:10,3/8/17,12:25,,Hall A&B,Luis MartinGarcia,,
Early Bird Registration,3/7/17,13:00,3/7/17,18:00,,Lobby,,,
Seagate: NVMe SSD Proliferation in OCP Servers,3/8/17,13:10,3/8/17,13:25,,Hall A&B,Tony Afshary,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,9:25,Networking 2,Great America Ballroom K,"Scott Emery, Omar Baldonado",,
Marvell: Extending the Lifecycle of 3.2T Switches,3/8/17,14:30,3/8/17,14:45,,Hall A&B,Yaniv Kopelman,,
Project Olympus GPU Expansion,3/9/17,13:00,3/9/17,13:25,Project Olympus,Grand Ballroom F,Siamak Tavallaei,,
Inspur: Inspur Leads Convergence in Open Rack Scale Designs,3/8/17,17:30,3/8/17,17:45,,Hall A&B,Dolly Wu,,
The OpenBMC Project,3/9/17,9:00,3/9/17,9:25,Hardware Management,Grand Ballroom D,Chris Austen,,
Expo Hall Theater: Sony OAI,3/8/17,13:30,3/8/17,13:45,,Hall A&B,Horst Schellong,,
"Canonical: Total Automation of OCP Infrastructure for Speed, Cost and Accuracy in the DC",3/8/17,17:30,3/8/17,17:55,,Great America Ballroom J/K,Mark Shuttleworth,,
Switch Abstraction Interface - SAI,3/9/17,9:30,3/9/17,9:55,Networking 2,Great America Ballroom K,Xin Liu,,
Power Considerations for Open Rack,3/9/17,10:00,3/9/17,10:25,Open Rack(48v) and Data Center,Grand Ballroom B,Doug Sandy,,
All NVMe Flash Array for Hyper-efficiency in Rack Scale,3/9/17,10:00,3/9/17,10:25,Storage,Grand Ballroom A,Eric H. Chang,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,8:55,Storage,Grand Ballroom A,,,
Executive Track: Seagate,3/8/17,15:10,3/8/17,15:35,,Grand Ballroom E/F,Unmesh Kulkarni,,
Facebook's Open Networking Hardware,3/9/17,9:30,3/9/17,9:55,Networking 1,Great America Ballroom J,"Zhiping Yao, Xu Wang, Alik Fishman, Akin Koyuncuogu",,
OpenSwitch (OPX) Introduction,3/9/17,13:30,3/9/17,13:55,Networking 2,Great America Ballroom K,Cliff Wichmann,,
Expo Hall Theater: Applied Micro,3/8/17,17:10,3/8/17,17:25,,Hall A&B,,,
ONIE with Secure Boot,3/9/17,11:30,3/9/17,11:55,Networking 1,Great America Ballroom J,Curt Brune,,
OpenDrive Qualification,3/9/17,14:30,3/9/17,14:55,Storage,Grand Ballroom A,Asghar Riahi,,
Expo Hall Theater: Delta/Agema,3/8/17,13:50,3/8/17,14:05,,Hall A&B,,,
Marvell: Modular Networking,3/8/17,16:20,3/8/17,16:45,,Grand Ballroom E/F,Michael Zimmerman,,
Expo Hall Theater: Edgecore (Accton),3/8/17,16:10,3/8/17,16:25,,Hall A&B,,,
Registration Open,3/9/17,8:00,3/9/17,12:00,,Lobby,,,
Executive Track: AMD,3/8/17,16:55,3/8/17,17:20,,Great America Ballroom J/K,,,
Software-Defined Storage Architectures on Open Compute,3/9/17,10:30,3/9/17,11:25,Storage,Grand Ballroom A,Michael Liberte,,
Experiences in Operating a Mixed OCP/Non-OCP Data Center Network,3/9/17,13:30,3/9/17,13:55,Networking 1,Great America Ballroom J,Starsky Wong,,
Microsoft: Designing Open Source Hardware to Inspire an Ecosystem,3/8/17,12:30,3/8/17,12:45,,Hall A&B,Mark Shaw,,
Facebook OpenBMC Updates,3/9/17,9:30,3/9/17,9:55,Hardware Management,Grand Ballroom D,Sai Dasari,,
Controlling the Network with APIs,3/9/17,14:00,3/9/17,14:25,Networking 2,Great America Ballroom K,Glenn Sullivan,,
Networking SAI Behavioral Model Implementation in P4,3/9/17,10:00,3/9/17,10:25,Networking 2,Great America Ballroom K,Aviad Raveh,,
Facility Requirements for Deploying OCP Racks,3/9/17,13:30,3/9/17,13:55,Open Rack(48v) and Data Center,Grand Ballroom B,Mark Dansie,,
Executive Track: Delta/Agema,3/8/17,15:45,3/8/17,16:10,,Grand Ballroom E/F,,,
